sample-id	id	Plate	Type	Soil	Location	Soil.Type	Group	original_reads	input	filtered	denoised	merged	non-chimeric	ASV
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric
WH-CL-BO-1-ITS	SW.CL.BO.1	4	Wheat	CL	BO	CL.BO	CL.BO	95818	94680	67077	65919	58011	48339	34758
WH-CL-BO-2-ITS	SW.CL.BO.2	4	Wheat	CL	BO	CL.BO	CL.BO	70277	69419	49761	48711	40767	35920	24619
WH-CL-BO-3-ITS	SW.CL.BO.3	4	Wheat	CL	BO	CL.BO	CL.BO	101439	100179	69756	68756	59573	50116	33872
WH-CL-BO-5-ITS	SW.CL.BO.5	4	Wheat	CL	BO	CL.BO	CL.BO	77004	76030	52027	51137	42953	37979	27474
WH-CL-YO-1-ITS	SW.CL.YO.1	4	Wheat	CL	YO	CL.YO	CL.YO	92617	91329	67162	66002	55271	49647	24632
WH-CL-YO-3-ITS	SW.CL.YO.3	4	Wheat	CL	YO	CL.YO	CL.YO	52266	51392	37986	37131	29451	26881	12762
WH-CL-YO-4-ITS	SW.CL.YO.4	4	Wheat	CL	YO	CL.YO	CL.YO	76272	75330	56223	54963	43236	39468	18721
WH-CL-YO-5-ITS	SW.CL.YO.5	4	Wheat	CL	YO	CL.YO	CL.YO	75844	74881	55330	54352	44118	40779	17261
WH-CY-BU-2-ITS	SW.CY.BU.2	4	Wheat	CY	BU	CY.BU	CY.BU	88455	87341	62134	61248	47080	39197	34296
WH-CY-BU-3-ITS	SW.CY.BU.3	4	Wheat	CY	BU	CY.BU	CY.BU	85789	84759	60174	59333	47656	40025	32849
WH-CY-BU-4-ITS	SW.CY.BU.4	4	Wheat	CY	BU	CY.BU	CY.BU	120381	118807	73962	73142	61351	48126	43694
WH-CY-BU-5-ITS	SW.CY.BU.5	4	Wheat	CY	BU	CY.BU	CY.BU	115035	113414	75833	75058	55056	45633	40802
WH-CY-YO-1-ITS	SW.CY.YO.1	4	Wheat	CY	YO	CY.YO	CY.YO	64490	63742	39472	38607	32329	28508	19621
WH-CY-YO-2-ITS	SW.CY.YO.2	4	Wheat	CY	YO	CY.YO	CY.YO	35948	35505	21499	21066	15605	14128	10427
WH-CY-YO-3-ITS	SW.CY.YO.3	4	Wheat	CY	YO	CY.YO	CY.YO	63112	62217	38489	37425	30994	27609	18624
WH-CY-YO-4-ITS	SW.CY.YO.4	4	Wheat	CY	YO	CY.YO	CY.YO	59714	58960	39625	38669	31247	28306	16015
WH-CY-YO-5-ITS	SW.CY.YO.5	4	Wheat	CY	YO	CY.YO	CY.YO	83426	82400	48169	47160	40142	34661	26408
WH-SC-HE-1-ITS	SW.SC.HE.1	4	Wheat	SC	HE	SC.HE	SC.HE	69631	68766	51501	50554	40823	34318	26480
WH-SC-HE-2-ITS	SW.SC.HE.2	4	Wheat	SC	HE	SC.HE	SC.HE	78260	77378	56885	55782	44981	38816	27248
WH-SC-HE-3-ITS	SW.SC.HE.3	4	Wheat	SC	HE	SC.HE	SC.HE	123796	122306	85395	84078	69844	57942	45281
WH-SC-HE-5-ITS	SW.SC.HE.5	4	Wheat	SC	HE	SC.HE	SC.HE	108540	107280	79801	78490	65798	57124	33479
WH-SC-SH-1-ITS	SW.SC.SH.1	4	Wheat	SC	SH	SC.SH	SC.SH	80034	78849	51276	49687	40874	36587	18303
WH-SC-SH-3-ITS	SW.SC.SH.3	4	Wheat	SC	SH	SC.SH	SC.SH	111552	110189	79579	78235	65014	56371	29631
WH-SC-SH-4-ITS	SW.SC.SH.4	4	Wheat	SC	SH	SC.SH	SC.SH	81757	80760	57972	56819	44313	38785	22478
WH-SC-SH-5-ITS	SW.SC.SH.5	4	Wheat	SC	SH	SC.SH	SC.SH	112493	110929	81590	80308	65158	57304	30766
WH-SL-AN-1-ITS	SW.SL.AN.1	4	Wheat	SL	AN	SL.AN	SL.AN	112646	111364	74086	72979	62140	50540	35841
WH-SL-AN-2-ITS	SW.SL.AN.2	4	Wheat	SL	AN	SL.AN	SL.AN	143941	141888	96589	95377	83290	64974	41884
WH-SL-AN-3-ITS	SW.SL.AN.3	4	Wheat	SL	AN	SL.AN	SL.AN	60987	60200	43151	42102	35613	30587	17131
